Makau;545674;28,2;19350
Monako;32130;1,95;16477
Hongkong;7394170;1092;6771
Singapur;4608595;693;6650
Gibraltar;27776;6;4629
Strefa Gazy;1274868;360;3541
Watykan;911;0,44;2070
Malta;400420;316;1267
Bermudy;64482;53;1217
Malediwy;329684;300;1099
Bahrajn;667238;620;1076
Sint Maarten;35000;34;974
Bangladesz;138448210;144000;961
Guernsey;64818;78;831
Jersey;90156;116;777
Mauritius;1210447;1860;651
Saint-Martin;34500;53,2;648
Barbados;277264;430;645
Tajwan;22603001;35980;628
Nauru;12570;21;599
Korea Południowa;48289037;98480;490
Majotta;178437;374;477
San Marino;28119;61;461
Tuvalu;11305;26;435
Portoryko;3885877;9104;427
Holandia;16418246;41526;395
Curaçao;138000;444;391
Martynika;425966;1100;387
Zachodni Brzeg;2237194;5860;382
Aruba;70844;193;367
Liban;3727703;10400;358
Indie;1166079217;3287590;355
Wyspy Dziewicze Stanów Zjednoczonych;124778;352;354
Samoa Amerykańskie;70260;199;353
Japonia;127214499;377835;337
Belgia;10289088;32545;316
Wyspy Marshalla;56429;181;312
Salwador;6470379;21040;308
Saint Vincent i Grenadyny;116812;389;300
Reunion;755171;2517;300
Guam;163941;549;299
Rwanda;7810056;26338;297
Sri Lanka;19409000;65610;296
Izrael;6116533;20770;294
Komory;632948;2170;292
Filipiny;84619974;300000;282
Haiti;7527817;27750;271
Grenada;89258;340;263
Saint Lucia;162157;620;262
Gwadelupa;405000;1628;249
Wietnam;81624716;329560;248
Wielka Brytania;60094648;244820;245
Jamajka;2695867;10990;245
Saint-Barthélemy;6100;25;244
Niemcy;82398326;357114;231
Burundi;6096156;27830;219
Trynidad i Tobago;1104209;5128;215
Liechtenstein;33145;160;207
Włochy;59619290;301230;198
Nepal;26469569;140800;188
Pakistan;150694740;803940;187
Korea Północna;22466481;120540;186
Dominikana;8715602;48730;179
Szwajcaria;7318638;41290;177
Seszele;80469;455;177
Wyspy Świętego Tomasza i Książęca;175883;1001;176
Luksemburg;454157;2586;176
Mariany Północne;80006;477;168
Kajmany;41934;262;160
Mikronezja;108143;702;154
Antigua i Barbuda;67897;442;154
Saint Kitts i Nevis;38763;261;149
Andora;69150;468;148
Sint Eustatius;3100;21;148
Nigeria;133881703;923768;145
Tonga;108141;748;145
Brytyjskie Wyspy Dziewicze;21730;153;142
Tokelau;1418;10;142
Kiribati;98549;717;137
Chiny;1286975468;9596960;134
Gambia;1501050;11300;133
Mołdawia;4439502;33843;131
Czechy;10249216;78866;130
Wyspa Man;74261;572;130
Gwatemala;13909384;108890;128
Tajlandia;64265276;514000;125
